Milliseconds,PackVoltx100,Ampsx100,RPM
29600,1242,93,2969
29700,1242,102,2967
29800,1242,93,2920
29900,1244,102,2969
30000,1244,102,2965
30100,1242,93,2913
30200,1244,93,2963
30300,1244,102,2967
30400,1242,93,2960
30500,1244,93,2967
30600,1242,102,2956
30700,1242,93,2970
30800,1244,102,2963
30900,1242,102,2963
31000,1242,102,2913
31100,1242,102,2948
31200,1244,102,2963
31300,1242,93,2967
31400,1242,93,2876
31500,1244,102,2963
31600,1242,93,2965
31700,1244,102,2960
31800,1242,102,2898
31900,1242,93,2898
32000,1244,93,2955
32100,1242,102,2956
32200,1244,93,2963
32300,1244,102,2962
32400,1244,102,2962
32500,1244,93,2886
32600,1242,93,2930
32700,1244,102,2967
32800,1244,102,2960
32900,1242,93,2960
33000,1242,102,2949
33100,1242,102,2963
33200,1242,102,2965
33300,1242,102,2898
33400,1242,102,2970
33500,1242,93,2967
33600,1242,111,2967
33700,1242,93,2956
33800,1242,93,2970
33900,1244,93,2967
34000,1242,93,2967
34100,1244,93,2963
34200,1242,102,2969
34300,1242,93,2967
34400,1242,102,2969
34500,1244,102,2923
34600,1244,93,2969
34700,1242,102,2967
34800,1242,93,2994
34900,1244,93,2963
35000,1242,93,2965
35100,1242,102,2967
35200,1242,93,2999
35300,1242,93,2972
35400,1242,120,2990
35500,1240,167,3415
35600,1240,186,3620
35700,1240,167,3787
35800,1240,148,3810
35900,1240,158,3822
36000,1240,158,3955
36100,1240,158,3822
36200,1240,158,3813
36300,1242,167,3813
36400,1240,158,3816
36500,1240,158,3819
36600,1240,148,3825
36700,1240,167,3846
36800,1240,148,3900
36900,1240,167,3822
37000,1240,158,3849
37100,1240,158,3825
37200,1240,158,3822
37300,1240,167,3816
37400,1240,167,3903
37500,1240,167,3816
37600,1240,158,3819
37700,1240,158,3891
37800,1240,158,3834
37900,1240,158,3834
38000,1240,158,3813
38100,1240,158,3813
38200,1240,167,3816
38300,1240,158,3813
38400,1240,158,3816
38500,1240,158,3825
38600,1240,158,3819
38700,1240,158,3813
38800,1240,158,3813
38900,1240,167,3753
39000,1240,167,3816
39100,1240,148,3813
39200,1240,158,3816
39300,1240,158,3816
39400,1240,158,3813
39500,1240,167,3808
39600,1240,158,3822
39700,1240,158,3816
39800,1240,167,3825
39900,1240,148,3698
40000,1240,158,3776
40100,1240,167,3825
40200,1240,148,3816
40300,1240,167,3668
40400,1240,148,3717
40500,1240,158,3819
40600,1240,167,3843
40700,1240,167,3834
40800,1240,176,3840
40900,1240,158,3799
41000,1240,148,3810
41100,1240,148,3816
41200,1240,158,3822
41300,1240,167,3703
41400,1240,148,3813
41500,1240,167,3770
41600,1240,158,3819
41700,1240,167,3819
41800,1240,158,3819
41900,1240,167,3822
42000,1240,158,3828
42100,1240,139,3813
42200,1240,167,3822
42300,1240,158,3816
42400,1240,148,3813
42500,1240,158,3822
42600,1240,148,3819
42700,1240,158,3961
42800,1240,139,3897
42900,1240,148,3810
43000,1240,167,3810
43100,1240,158,3813
43200,1240,158,3974
43300,1240,167,3866
43400,1240,167,3828
43500,1240,158,3819
43600,1240,158,3813
43700,1240,167,3822
43800,1240,158,3837
43900,1240,148,3822
44000,1240,167,3863
44100,1240,167,3837
44200,1240,167,3819
44300,1240,158,3837
44400,1240,158,3825
44500,1240,139,3813
44600,1240,167,3852
44700,1240,148,3828
44800,1240,158,3816
44900,1240,158,3813
45000,1240,167,3837
45100,1240,158,3822
45200,1240,158,3759
45300,1240,176,3825
45400,1240,148,3840
45500,1240,167,3810
45600,1240,158,3816
45700,1240,167,3679
45800,1240,148,3813
45900,1240,148,3810
46000,1240,158,3816
46100,1240,158,3822
46200,1240,158,3831
46300,1240,148,3846
46400,1240,158,3816
46500,1240,148,3816
46600,1240,148,3816
46700,1240,167,3785
46800,1240,158,3906
46900,1240,158,3816
47000,1240,148,3816
47100,1240,148,3834
47200,1240,158,3828
47300,1240,158,3813
47400,1240,158,3816
47500,1240,158,3816
47600,1240,148,3819
47700,1240,176,3731
47800,1240,158,3813
47900,1240,148,3828
48000,1240,139,3816
48100,1240,176,3943
48200,1240,158,3846
48300,1240,158,3819
48400,1237,158,3888
48500,1240,158,3819
48600,1240,148,3805
48700,1240,158,3816
48800,1240,158,3846
48900,1240,158,3810
49000,1240,167,3810
